None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
113,AAPL,1981-05-27,33.0,33.13,33.0,33.0,667400.0,0.0,1.0,0.48519287735812,0.48710424323862,0.48519287735812,0.48519287735812,37374400.0
114,AAPL,1981-05-28,33.0,33.13,33.0,33.0,330300.0,0.0,1.0,0.48519287735812,0.48710424323862,0.48519287735812,0.48519287735812,18496800.0
115,AAPL,1981-05-29,33.13,33.25,33.13,33.13,265100.0,0.0,1.0,0.48710424323862,0.48886858097447,0.48710424323862,0.48710424323862,14845600.0
116,AAPL,1981-06-01,33.13,33.25,33.13,33.13,228800.0,0.0,1.0,0.48710424323862,0.48886858097447,0.48710424323862,0.48710424323862,12812800.0
117,AAPL,1981-06-02,31.62,31.62,31.5,31.5,180500.0,0.0,1.0,0.46490299339587,0.46490299339587,0.46313865566003,0.46313865566003,10108000.0
118,AAPL,1981-06-03,31.5,31.75,31.5,31.5,176100.0,0.0,1.0,0.46313865566003,0.46681435927638,0.46313865566003,0.46313865566003,9861600.0
119,AAPL,1981-06-04,32.12,32.25,32.12,32.12,250300.0,0.0,1.0,0.47225440062857,0.47416576650907,0.47225440062857,0.47225440062857,14016800.0
120,AAPL,1981-06-05,31.75,31.75,31.62,31.62,257500.0,0.0,1.0,0.46681435927638,0.46681435927638,0.46490299339587,0.46490299339587,14420000.0
121,AAPL,1981-06-08,30.63,30.63,30.5,30.5,417400.0,0.0,1.0,0.45034720707513,0.45034720707513,0.44843584119463,0.44843584119463,23374400.0
122,AAPL,1981-06-09,31.12,31.25,31.12,31.12,533900.0,0.0,1.0,0.45755158616317,0.45946295204368,0.45755158616317,0.45755158616317,29898400.0
123,AAPL,1981-06-10,31.5,31.88,31.5,31.5,112600.0,0.0,1.0,0.46313865566003,0.46872572515688,0.46313865566003,0.46313865566003,6305600.0
124,AAPL,1981-06-11,32.87,33.0,32.87,32.87,174000.0,0.0,1.0,0.48328151147762,0.48519287735812,0.48328151147762,0.48328151147762,9744000.0
125,AAPL,1981-06-12,32.63,32.63,32.5,32.5,115200.0,0.0,1.0,0.47975283600592,0.47975283600592,0.47784147012542,0.47784147012542,6451200.0
126,AAPL,1981-06-15,32.5,32.5,32.37,32.37,641800.0,0.0,1.0,0.47784147012542,0.47784147012542,0.47593010424492,0.47593010424492,35940800.0
127,AAPL,1981-06-16,31.88,31.88,31.75,31.75,166300.0,0.0,1.0,0.46872572515688,0.46872572515688,0.46681435927638,0.46681435927638,9312800.0
128,AAPL,1981-06-17,31.38,31.38,31.25,31.25,123100.0,0.0,1.0,0.46137431792418,0.46137431792418,0.45946295204368,0.45946295204368,6893600.0
129,AAPL,1981-06-18,31.25,31.38,31.12,31.12,102900.0,0.0,1.0,0.45946295204368,0.46137431792418,0.45755158616317,0.45755158616317,5762400.0
130,AAPL,1981-06-19,30.37,30.37,30.25,30.25,122800.0,0.0,1.0,0.44652447531413,0.44652447531413,0.44476013757828,0.44476013757828,6876800.0
131,AAPL,1981-06-22,29.25,29.25,29.13,29.13,48400.0,0.0,1.0,0.43005732311288,0.43005732311288,0.42829298537703,0.42829298537703,2710400.0
132,AAPL,1981-06-23,29.63,29.87,29.63,29.63,67100.0,0.0,1.0,0.43564439260973,0.43917306808143,0.43564439260973,0.43564439260973,3757600.0
133,AAPL,1981-06-24,29.13,29.13,28.87,28.87,102800.0,0.0,1.0,0.42829298537703,0.42829298537703,0.42447025361603,0.42447025361603,5756800.0
134,AAPL,1981-06-25,29.5,29.63,29.5,29.5,108300.0,0.0,1.0,0.43373302672923,0.43564439260973,0.43373302672923,0.43373302672923,6064800.0
135,AAPL,1981-06-26,29.37,29.37,29.13,29.13,106200.0,0.0,1.0,0.43182166084873,0.43182166084873,0.42829298537703,0.42829298537703,5947200.0
136,AAPL,1981-06-29,28.38,28.38,28.12,28.12,47300.0,0.0,1.0,0.41726587452798,0.41726587452798,0.41344314276698,0.41344314276698,2648800.0
137,AAPL,1981-06-30,26.13,26.13,26.0,26.0,160300.0,0.0,1.0,0.38418454198084,0.38418454198084,0.38227317610034,0.38227317610034,8976800.0
138,AAPL,1981-07-01,25.87,25.87,25.75,25.75,761000.0,0.0,1.0,0.38036181021984,0.38036181021984,0.37859747248399,0.37859747248399,42616000.0
139,AAPL,1981-07-02,25.75,25.87,25.75,25.75,135200.0,0.0,1.0,0.37859747248399,0.38036181021984,0.37859747248399,0.37859747248399,7571200.0
140,AAPL,1981-07-06,25.12,25.12,24.88,24.88,73800.0,0.0,1.0,0.36933469937079,0.36933469937079,0.36580602389909,0.36580602389909,4132800.0
141,AAPL,1981-07-07,25.12,25.37,25.12,25.12,70700.0,0.0,1.0,0.36933469937079,0.37301040298714,0.36933469937079,0.36933469937079,3959200.0
142,AAPL,1981-07-08,26.13,26.25,26.13,26.13,74200.0,0.0,1.0,0.38418454198084,0.38594887971669,0.38418454198084,0.38418454198084,4155200.0
143,AAPL,1981-07-09,24.25,24.25,24.12,24.12,146800.0,0.0,1.0,0.35654325078589,0.35654325078589,0.35463188490539,0.35463188490539,8220800.0
144,AAPL,1981-07-10,22.37,22.37,22.25,22.25,246300.0,0.0,1.0,0.32890195959095,0.32890195959095,0.3271376218551,0.3271376218551,13792800.0
145,AAPL,1981-07-13,22.75,22.87,22.75,22.75,204200.0,0.0,1.0,0.3344890290878,0.33625336682364,0.3344890290878,0.3344890290878,11435200.0
146,AAPL,1981-07-14,23.75,24.0,23.75,23.75,88300.0,0.0,1.0,0.34919184355319,0.35286754716954,0.34919184355319,0.34919184355319,4944800.0
147,AAPL,1981-07-15,24.38,24.5,24.38,24.38,48900.0,0.0,1.0,0.35845461666639,0.36021895440224,0.35845461666639,0.35845461666639,2738400.0
148,AAPL,1981-07-16,25.0,25.25,25.0,25.0,68000.0,0.0,1.0,0.36757036163494,0.37124606525129,0.36757036163494,0.36757036163494,3808000.0
149,AAPL,1981-07-17,25.87,26.0,25.87,25.87,88500.0,0.0,1.0,0.38036181021984,0.38227317610034,0.38036181021984,0.38036181021984,4956000.0
150,AAPL,1981-07-20,24.25,24.25,24.12,24.12,105600.0,0.0,1.0,0.35654325078589,0.35654325078589,0.35463188490539,0.35463188490539,5913600.0
151,AAPL,1981-07-21,24.12,24.12,24.0,24.0,142600.0,0.0,1.0,0.35463188490539,0.35463188490539,0.35286754716954,0.35286754716954,7985600.0
152,AAPL,1981-07-22,22.87,22.87,22.63,22.63,101200.0,0.0,1.0,0.33625336682364,0.33625336682364,0.33272469135195,0.33272469135195,5667200.0
153,AAPL,1981-07-23,23.25,23.37,23.25,23.25,153800.0,0.0,1.0,0.3418404363205,0.34360477405634,0.3418404363205,0.3418404363205,8612800.0
154,AAPL,1981-07-24,24.0,24.12,24.0,24.0,128800.0,0.0,1.0,0.35286754716954,0.35463188490539,0.35286754716954,0.35286754716954,7212800.0
155,AAPL,1981-07-27,25.0,25.12,25.0,25.0,77400.0,0.0,1.0,0.36757036163494,0.36933469937079,0.36757036163494,0.36757036163494,4334400.0
156,AAPL,1981-07-28,24.25,24.25,24.12,24.12,102000.0,0.0,1.0,0.35654325078589,0.35654325078589,0.35463188490539,0.35463188490539,5712000.0
157,AAPL,1981-07-29,23.88,23.88,23.75,23.75,69200.0,0.0,1.0,0.3511032094337,0.3511032094337,0.34919184355319,0.34919184355319,3875200.0
158,AAPL,1981-07-30,24.62,24.88,24.62,24.62,44200.0,0.0,1.0,0.36198329213809,0.36580602389909,0.36198329213809,0.36198329213809,2475200.0
159,AAPL,1981-07-31,25.0,25.12,25.0,25.0,48900.0,0.0,1.0,0.36757036163494,0.36933469937079,0.36757036163494,0.36757036163494,2738400.0
160,AAPL,1981-08-03,25.0,25.0,24.75,24.75,55500.0,0.0,1.0,0.36757036163494,0.36757036163494,0.36389465801859,0.36389465801859,3108000.0
161,AAPL,1981-08-04,25.12,25.25,25.12,25.12,141400.0,0.0,1.0,0.36933469937079,0.37124606525129,0.36933469937079,0.36933469937079,7918400.0
162,AAPL,1981-08-05,25.87,26.0,25.87,25.87,78100.0,0.0,1.0,0.38036181021984,0.38227317610034,0.38036181021984,0.38036181021984,4373600.0
163,AAPL,1981-08-06,25.37,25.37,25.25,25.25,47000.0,0.0,1.0,0.37301040298714,0.37301040298714,0.37124606525129,0.37124606525129,2632000.0
164,AAPL,1981-08-07,25.25,25.37,25.25,25.25,41100.0,0.0,1.0,0.37124606525129,0.37301040298714,0.37124606525129,0.37124606525129,2301600.0
165,AAPL,1981-08-11,24.75,24.75,24.5,24.5,319000.0,0.0,1.0,0.36389465801859,0.36389465801859,0.36021895440224,0.36021895440224,17864000.0
166,AAPL,1981-08-12,24.12,24.12,24.0,24.0,117300.0,0.0,1.0,0.35463188490539,0.35463188490539,0.35286754716954,0.35286754716954,6568800.0
167,AAPL,1981-08-13,23.37,23.37,23.25,23.25,122700.0,0.0,1.0,0.34360477405634,0.34360477405634,0.3418404363205,0.3418404363205,6871200.0
